Measurement,Timestamp (s)
1,0.031
2,30.171
3,60.343
4,90.484
5,120.625
6,150.765
7,180.906
8,211.046
9,241.203
10,271.343
11,301.484
12,331.625
13,361.781
14,391.921
15,422.062
16,452.203
17,482.343
18,512.484
19,542.625
20,572.765
21,602.906
22,633.046
23,663.187
24,693.328
25,723.4679999999998
26,753.609
27,783.7809999999998
28,813.921
29,844.0779999999999
30,874.2179999999998
31,904.359
32,934.5150000000002
33,964.656
34,994.812
35,1024.953
36,1055.093
37,1085.234
38,1115.375
39,1145.515
40,1175.687
